classic pop and rock,"38 Special",86.0
classic pop and rock,"The Robert Cray Band",82.0
classic pop and rock,"The Pioneers",80.0
classic pop and rock,"Mark Kozelek",79.0
classic pop and rock,"Karen Carpenter",79.0
classic pop and rock,"Commodores",78.0
classic pop and rock,"Harold Melvin & The Blue Notes",77.0
classic pop and rock,"Beny More",77.0
classic pop and rock,"Liam Lynch",76.0
classic pop and rock,"Marlena Shaw",76.0
classic pop and rock,"Davy Graham",75.0
classic pop and rock,"Baltimora",75.0
classic pop and rock,"Desiree",75.0
classic pop and rock,"Boney M",75.0
classic pop and rock,"Mark Mulcahy",74.0
classic pop and rock,"Dazz Band",74.0
classic pop and rock,"The Lemon Pipers",74.0
classic pop and rock,"Andreas Johnson",74.0
classic pop and rock,"Rosie Vela",73.0
classic pop and rock,"Trisha Yearwood",73.0
classic pop and rock,"England Dan & John Ford Coley",73.0
classic pop and rock,"First Choice",72.0
classic pop and rock,"Santa Esmeralda",72.0
classic pop and rock,"Skeletal Family",72.0
classic pop and rock,"Player",71.0
classic pop and rock,"Inner City",71.0
classic pop and rock,"Willard Grant Conspiracy",71.0
classic pop and rock,"Sid Vicious",71.0
classic pop and rock,"Chairmen Of The Board",71.0
classic pop and rock,"Carlos Baute",71.0
classic pop and rock,"Imagination",70.0
classic pop and rock,"Appendix Out",70.0
classic pop and rock,"Ram Jam",70.0
classic pop and rock,"James Brown",69.5
classic pop and rock,"The Matthew Herbert Big Band",69.0
classic pop and rock,"Mikey Dread",69.0
classic pop and rock,"Diamond Head",69.0
classic pop and rock,"John Foxx",69.0
classic pop and rock,"Stevie Wonder",68.0
classic pop and rock,"The Rubinoos",68.0
classic pop and rock,"Jocelyn Brown",68.0
classic pop and rock,"Steve Hillage",68.0
classic pop and rock,"Alex Harvey Band",68.0
classic pop and rock,"The Bar-Kays",68.0
classic pop and rock,"The Gap Band",68.0
classic pop and rock,"Hazel O'Connor",67.0
classic pop and rock,"Hot Snakes",67.0
classic pop and rock,"George McCrae",67.0
classic pop and rock,"Yvonne Elliman",67.0
classic pop and rock,"Dobie Gray",67.0
classic pop and rock,"Nu Shooz",67.0
classic pop and rock,"Norman Greenbaum",67.0
classic pop and rock,"Anita Ward",66.0
classic pop and rock,"Freda Payne",66.0
classic pop and rock,"Gene Chandler",66.0
classic pop and rock,"Klaus Schulze",66.0
classic pop and rock,"Betty Everett",66.0
classic pop and rock,"Tuxedomoon",66.0
classic pop and rock,"Sonny & Cher",66.0
