classic pop and rock,love,27604
classic pop and rock,good,11925
classic pop and rock,time,5820
classic pop and rock,sing,5740
classic pop and rock,sweet,5610
classic pop and rock,sun,5285
classic pop and rock,money,5100
classic pop and rock,lose,4644
classic pop and rock,hope,4475
classic pop and rock,lie,4300
classic pop and rock,bad,4185
classic pop and rock,kiss,4036
classic pop and rock,friend,3936
classic pop and rock,god,3755
classic pop and rock,smile,3576
classic pop and rock,true,3420
classic pop and rock,wait,3322
classic pop and rock,star,3224
classic pop and rock,die,3078
classic pop and rock,music,2766
classic pop and rock,found,2763
classic pop and rock,fall,2738
classic pop and rock,angel,2710
classic pop and rock,treat,2670
classic pop and rock,boy,2572
classic pop and rock,mother,2568
classic pop and rock,tree,2555
classic pop and rock,lover,2448
classic pop and rock,lord,2440
classic pop and rock,hurt,2420
classic pop and rock,long,2357
classic pop and rock,young,2096
classic pop and rock,word,2092
classic pop and rock,lost,2088
classic pop and rock,grow,2032
classic pop and rock,pray,1962
classic pop and rock,pay,1872
classic pop and rock,kind,1818
classic pop and rock,fight,1806
classic pop and rock,death,1729
classic pop and rock,hell,1710
classic pop and rock,pain,1623
classic pop and rock,broken,1604
classic pop and rock,child,1584
classic pop and rock,real,1542
classic pop and rock,watch,1500
classic pop and rock,save,1500
classic pop and rock,share,1456
classic pop and rock,laugh,1401
classic pop and rock,devil,1386
classic pop and rock,white,1380
classic pop and rock,fun,1272
classic pop and rock,scream,1265
classic pop and rock,hate,1255
classic pop and rock,fool,1234
classic pop and rock,kill,1176
classic pop and rock,fear,1128
classic pop and rock,blue,1123
classic pop and rock,talk,1120
classic pop and rock,late,1118
classic pop and rock,cross,1096
classic pop and rock,wrong,1093
classic pop and rock,show,1085
classic pop and rock,faith,1048
classic pop and rock,mad,1035
classic pop and rock,black,1028
classic pop and rock,bang,1020
classic pop and rock,perfect,1020
classic pop and rock,start,1015
classic pop and rock,scare,990
classic pop and rock,rock,941
classic pop and rock,break,939
classic pop and rock,sky,937
classic pop and rock,thought,935
classic pop and rock,wild,932
classic pop and rock,gun,909
classic pop and rock,lone,884
classic pop and rock,dawn,880
classic pop and rock,glad,879
classic pop and rock,sin,870
classic pop and rock,truth,812
classic pop and rock,chorus,796
classic pop and rock,shine,772
classic pop and rock,top,759
classic pop and rock,blame,756
classic pop and rock,thrill,745
classic pop and rock,tender,744
classic pop and rock,doubt,740
classic pop and rock,bout,740
classic pop and rock,shot,725
classic pop and rock,fire,715
classic pop and rock,jump,714
classic pop and rock,morn,706
classic pop and rock,freedom,699
classic pop and rock,evil,690
classic pop and rock,brother,670
classic pop and rock,dark,654
classic pop and rock,afraid,652
classic pop and rock,shame,652
classic pop and rock,honest,651
